Mod Loading Profiling Results:
   Constructing
      openglider: 19ms
      appleskin: 19ms
      codechickenlib: 19ms
      forbidden_arcanus: 16ms
      integrationforegoing: 16ms
      randompatches: 16ms
      patchouli: 16ms
      loottweaker: 14ms
      theoneprobe: 13ms
      headcrumbs: 12ms
      betterbuilderswands: 12ms
      bookshelf: 11ms
      bonsaitrees: 10ms
      vanillasatchels: 10ms
      cucumber: 9ms
      jei: 8ms
      classicbar: 8ms
      teslacorelib: 7ms
      supersoundmuffler: 7ms
      contenttweaker: 7ms
      bdlib: 7ms
      mantle: 6ms
      hearthstones: 6ms
      rsgauges: 5ms
      rustic: 5ms
      essentials: 5ms
      recipestages: 5ms
      applecore: 5ms
      vaultopic: 4ms
      base: 4ms
      extraanvils: 4ms
      crafttweakerjei: 4ms
      reactorbuilder: 4ms
      darkutils: 4ms
      deepmoblearning: 4ms
      moreoverlays: 3ms
      speedyhoppers: 3ms
      mechanics: 3ms
      modnametooltip: 3ms
      chisel: 2ms
      crafttweaker: 2ms
      baubles: 2ms
      netherchest: 2ms
      xencraft: 2ms
      cofhcore: 2ms
      topography: 2ms
      teslacorelib_registries: 1ms
      speedyladders: 1ms
      discordcraft: 1ms
      telepastries: 1ms
      rebind_narrator: 1ms
      morecharcoal: 1ms
   PostInitialization
      immersiveengineering: 1272ms
      crafttweaker: 715ms
      journeymap: 669ms
      deepmoblearning: 656ms
      appliedenergistics2: 349ms
      astralsorcery: 272ms
      unidict: 247ms
      bonsaitrees: 229ms
      actuallyadditions: 145ms
      ftbquests: 125ms
      cookingforblockheads: 121ms
      scavenge: 102ms
      nuclearcraft: 91ms
      alchemistry: 81ms
      enderio: 80ms
      industrialforegoing: 76ms
      quark: 61ms
      solcarrot: 53ms
      smoothfont: 51ms
      tetra: 50ms
      rustic: 49ms
      pickletweaks: 43ms
      placebo: 41ms
      classicbar: 35ms
      blockdrops: 35ms
      rsgauges: 34ms
      cofhcore: 33ms
      mekanism: 31ms
      inspirations: 30ms
      chiselsandbits: 29ms
      teslacorelib: 20ms
      universaltweaks: 19ms
      waterstrainer: 17ms
      ftblib: 16ms
      reactorbuilder: 14ms
      kleeslabs: 14ms
      naturesaura: 12ms
      architecturecraft: 12ms
      vaultopic: 10ms
      endercore: 9ms
      ftbutilities: 9ms
      endertweaker: 9ms
      roots: 8ms
      defaultoptions: 7ms
      headcrumbs: 6ms
      moreoverlays: 6ms
      xnet: 6ms
      craftingtweaks: 5ms
      integrationforegoing: 5ms
      mantle: 5ms
      jeiintegration: 5ms
      morpheus: 4ms
      initialinventory: 4ms
      cucumber: 4ms
      enderiointegrationticlate: 4ms
      buildinggadgets: 4ms
      base: 3ms
      topography: 3ms
      betterbuilderswands: 3ms
      inventorytweaks: 3ms
      artisanworktables: 3ms
      teslacorelib_registries: 2ms
      pyrotech: 2ms
      tombstone: 1ms
      codechickenlib: 1ms
